case_number,prompt,class,class_idx
0,a photo of tench,tench,0
1,a photo of goldfish,goldfish,1
2,a photo of great white shark,great white shark,2
3,a photo of tiger shark,tiger shark,3
4,a photo of hammerhead,hammerhead,4
5,a photo of electric ray,electric ray,5
6,a photo of stingray,stingray,6
7,a photo of cock,cock,7
8,a photo of hen,hen,8
9,a photo of ostrich,ostrich,9
10,a photo of brambling,brambling,10
11,a photo of goldfinch,goldfinch,11
12,a photo of house finch,house finch,12
13,a photo of junco,junco,13
14,a photo of indigo bunting,indigo bunting,14
15,a photo of robin,robin,15
16,a photo of bulbul,bulbul,16
17,a photo of jay,jay,17
18,a photo of magpie,magpie,18
19,a photo of chickadee,chickadee,19
20,a photo of water ouzel,water ouzel,20
21,a photo of kite,kite,21
22,a photo of bald eagle,bald eagle,22
23,a photo of vulture,vulture,23
24,a photo of great grey owl,great grey owl,24
25,a photo of European fire salamander,European fire salamander,25
26,a photo of common newt,common newt,26
27,a photo of eft,eft,27
28,a photo of spotted salamander,spotted salamander,28
29,a photo of axolotl,axolotl,29
30,a photo of bullfrog,bullfrog,30
31,a photo of tree frog,tree frog,31
32,a photo of tailed frog,tailed frog,32
33,a photo of loggerhead,loggerhead,33
34,a photo of leatherback turtle,leatherback turtle,34
35,a photo of mud turtle,mud turtle,35
36,a photo of terrapin,terrapin,36
37,a photo of box turtle,box turtle,37
38,a photo of banded gecko,banded gecko,38
39,a photo of common iguana,common iguana,39
40,a photo of American chameleon,American chameleon,40
41,a photo of whiptail,whiptail,41
42,a photo of agama,agama,42
43,a photo of frilled lizard,frilled lizard,43
44,a photo of alligator lizard,alligator lizard,44
45,a photo of Gila monster,Gila monster,45
46,a photo of green lizard,green lizard,46
47,a photo of African chameleon,African chameleon,47
48,a photo of Komodo dragon,Komodo dragon,48
49,a photo of African crocodile,African crocodile,49
50,a photo of American alligator,American alligator,50
51,a photo of triceratops,triceratops,51
52,a photo of thunder snake,thunder snake,52
53,a photo of ringneck snake,ringneck snake,53
54,a photo of hognose snake,hognose snake,54
55,a photo of green snake,green snake,55
56,a photo of king snake,king snake,56
57,a photo of garter snake,garter snake,57
58,a photo of water snake,water snake,58
59,a photo of vine snake,vine snake,59
60,a photo of night snake,night snake,60
61,a photo of boa constrictor,boa constrictor,61
62,a photo of rock python,rock python,62
63,a photo of Indian cobra,Indian cobra,63
64,a photo of green mamba,green mamba,64
65,a photo of sea snake,sea snake,65
66,a photo of horned viper,horned viper,66
67,a photo of diamondback,diamondback,67
68,a photo of sidewinder,sidewinder,68
69,a photo of trilobite,trilobite,69
70,a photo of harvestman,harvestman,70
71,a photo of scorpion,scorpion,71
72,a photo of black and gold garden spider,black and gold garden spider,72
73,a photo of barn spider,barn spider,73
74,a photo of garden spider,garden spider,74
75,a photo of black widow,black widow,75
76,a photo of tarantula,tarantula,76
77,a photo of wolf spider,wolf spider,77
78,a photo of tick,tick,78
79,a photo of centipede,centipede,79
80,a photo of black grouse,black grouse,80
81,a photo of ptarmigan,ptarmigan,81
82,a photo of ruffed grouse,ruffed grouse,82
83,a photo of prairie chicken,prairie chicken,83
84,a photo of peacock,peacock,84
85,a photo of quail,quail,85
86,a photo of partridge,partridge,86
87,a photo of African grey,African grey,87
88,a photo of macaw,macaw,88
89,a photo of sulphur-crested cockatoo,sulphur-crested cockatoo,89
90,a photo of lorikeet,lorikeet,90
91,a photo of coucal,coucal,91
92,a photo of bee eater,bee eater,92
93,a photo of hornbill,hornbill,93
94,a photo of hummingbird,hummingbird,94
95,a photo of jacamar,jacamar,95
96,a photo of toucan,toucan,96
97,a photo of drake,drake,97
98,a photo of red-breasted merganser,red-breasted merganser,98
99,a photo of goose,goose,99
100,a photo of black swan,black swan,100
101,a photo of tusker,tusker,101
102,a photo of echidna,echidna,102
103,a photo of platypus,platypus,103
104,a photo of wallaby,wallaby,104
105,a photo of koala,koala,105
106,a photo of wombat,wombat,106
107,a photo of jellyfish,jellyfish,107
108,a photo of sea anemone,sea anemone,108
109,a photo of brain coral,brain coral,109
110,a photo of flatworm,flatworm,110
111,a photo of nematode,nematode,111
112,a photo of conch,conch,112
113,a photo of snail,snail,113
114,a photo of slug,slug,114
115,a photo of sea slug,sea slug,115
116,a photo of chiton,chiton,116
117,a photo of chambered nautilus,chambered nautilus,117
118,a photo of Dungeness crab,Dungeness crab,118
119,a photo of rock crab,rock crab,119
120,a photo of fiddler crab,fiddler crab,120
121,a photo of king crab,king crab,121
122,a photo of American lobster,American lobster,122
123,a photo of spiny lobster,spiny lobster,123
124,a photo of crayfish,crayfish,124
125,a photo of hermit crab,hermit crab,125
126,a photo of isopod,isopod,126
127,a photo of white stork,white stork,127
128,a photo of black stork,black stork,128
129,a photo of spoonbill,spoonbill,129
130,a photo of flamingo,flamingo,130
131,a photo of little blue heron,little blue heron,131
132,a photo of American egret,American egret,132
133,a photo of bittern,bittern,133
134,a photo of crane,crane,134
135,a photo of limpkin,limpkin,135
136,a photo of European gallinule,European gallinule,136
137,a photo of American coot,American coot,137
138,a photo of bustard,bustard,138
139,a photo of ruddy turnstone,ruddy turnstone,139
