case_number,class,class_idx,seed,prompt
0,1328,1318,2313009186,antagonist portrait by enki bilal and peter elson 
1,816,808,1688057343,"Official Portrait of the United States President, 1792, Oil on Canvas"
2,125,124,171000604,"A illustration. A rip in spacetime. Did this device in his hand open a portal to another dimension or reality?! thalassophobia by Edward Hopper, by Diego Velázquez tranquil"
3,554,550,3327385030,"galleons in the port at sunset, blue light, blue tones. by henriette ronner - knip, by william henry hunt, by rembrandt, by joseph mallord william turner, by konstantin razumov, concept art, "
4,238,237,1168373791,"symmetry!! maya rendering close - up c 4 d of a tiny cute oriental fairy tale pet mascot toys, lovely, magic, intricate ， smooth line, light dust, unreal engine, mysterious dark background, warm top light, loish, rhads, ferdinand knab, greg rutkowski,, wlop, beeple "
5,1865,1848,2527532126,"hyperrealistic mixed media image of info wars alex jones with ( ( bullfrog face ) ), stunning 3 d render inspired art by xiang duan and thomas eakes and greg rutkowski, perfect facial symmetry, hyper realistic texture, realistic, highly detailed attributes and atmosphere, dim volumetric cinematic lighting, 8 k octane detailed render, post - processing, masterpiece, "
6,13,12,249984101,"a painting on a grassy hill has sheep standing near it, an ultrafine detailed painting by eugene boudin, deviantart, american scene painting, impressionism, pre - raphaelite, painterly "
7,1262,1252,3178275005,"transparent frosted glass skull intricate abstract. sharp teeth. delicate artwork. by Tooth Wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k, depth of field, bokeh. chrome accents."
8,1157,1148,2681920179,"pencil drawing fine details portrait of a kitten playing with smartphone. 8k, sharp high quality"
9,1272,1262,3002348287,"Portrait of Avatar Korra, Legend of Korra, blue eyes, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha"
10,247,246,2931565513,"hyper - realistic portrait of 1 9 7 0 s kowloon, extreme detail, in style of pan ren wei, ilya kuvshinov, yoji shinkawa, atey ghailan, krenz cushart, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton, by kaethe butcher, grunge aesthetic "
11,840,832,2237146099,a representative model of a light particle 
12,1367,1356,275673654,"a beautiful classy dancing couple, dimly lit upscale 1920s speakeasy, relaxed pose, art deco, detailed painterly digital art style by Edward Hopper, retro vibe, 🍸, 8k octane beautifully detailed render, post-processing, extremely hyperdetailed, intricate, epic composition, grim yet sparkling atmosphere, cinematic lighting + masterpiece, trending on artstation, very detailed, vibrant colors, Art Nouveau, masterpiece"
13,148,147,1028110823,"incredibly realistic, too detailed face of crystal golem alan turing, organic eyes, spiral headphones, octane render, bump mapping, macro image, global illumination, 8 k, bokeh, earl norem, ivan kramskoi, carl bloch "
14,1873,1856,2459510955,"Marcus Fenix from Gears of War shouting at tomatoes, digital art, trending on artstation"
15,287,286,4058330751,"ultra realistic beautiful kowloon alleyway techno art, beautiful alluring anime cyborg, gorgeous face and figure, sci - fi, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, beautiful sunlight and shadows, art by tian zi and yuxiang chen and alphonse mucha and greg rutkowski and wlop and andreas achenbach "
16,1978,1960,1083577984,fallout 3 concept art power armor render ultra unreal engine 5 
17,1627,1611,3010633043,"beautiful ink sketch, dieselpunk high fantasy, a ww 1 soldier in gasmask wwi, by chris riddell, ilya kuvshinov, wlop, krenz kushart, boris vallejo, ayami kojima and ayami kojima "
18,1436,1424,1441547519,"byzantine empress theodora the first, art nouveau artwork masterpiece, by Alphonse Mucha, Adolfo Hohenstein, Stanley Artgerm Lau, Greg Rutkowski, Thomas Kindkade, trending on artstation, 4k, smooth, sharp focus"
19,1018,1009,4122339378,"a highly detailed extremely beautiful painting of a beautiful vibrant isometric futuristic evolutionary dream, overlooking a galaxy, visionary, powerful, triumphant, ornate, cinematic action horror, epic fantasy art by michael whelan, lisa frank, thomas kinkade "
20,909,900,3928601990,"an anthropomorphic beautiful female goddess portrait, wearing beanie, mirrored sunglasses, colorful scarf, fine art, award winning, intricate, elegant, sharp focus, octane render, hyperrealistic, cinematic lighting, highly detailed, digital painting, 8 k concept art, art by jamie hewlett and z. w. gu, masterpiece, trending on artstation, 8 k "
21,172,171,1142501888,"If you find yourself lost on a wandering island  help will come this time, colorful, high quality, complex high resolution, 8k, trending on Artstation, surreal"
22,523,519,4119281505,"beauty woman, full pallet image, Blade runner artifacts, electronic case display, Total Recall hologram tech, ultrarealistic, futuristic, three point lighting, dramatic lighting, electrical details, high details, 4k, 8k, best, accurate, trending on artstation, artstation, photorealism, ultrarealistic, digital painting, style of Peter Mohrbacher, Caravaggio, Dali, Boris Vallejo, Hajime Sorayama  "
23,59,58,1368846636,"valheim, splash art, movie still, cinematic lighting, ray tracing, octane render, long lens, shallow depth of field, bokeh, anamorphic lens flare, 8 k, hyper detailed, 3 5 mm film grain "
24,1421,1409,1743402635,"glamorous sakuyamon, very detailed face, studio lighting, photorealism,  , portrait by Magali Villeneuve and Steve Argyle,Livia Prima,Mucha,dress,fantasy art,beautiful,artstation,trending on artstation,intricate details,alluring,masterpiece"
25,785,778,3023272749,"portrait in a still shikishi, dr stone art poster, ilya kuvshinov yoshinari yoh makoto shinkai katsura masakazu kyoani n "
26,465,461,319593380,"tree of life by roger dean and andrew ferez, art forms of nature by ernst haeckel, divine chaos engine, symbolist, visionary, art nouveau, botanical fractal structures, organic, detailed, realistic, surreality "
27,66,65,3318688018,"spaceship interior made from analog audio tech with sunlight bouncing inside, 3 d render by ian huberts blender artstation 4 k render "
28,999,990,2421251475,"Clint Eastwood, glossy intricate design, digital art, smooth vibrancy,high detail texture, dynamic poses, realistic shaded lighting, 8k, unreal engine 5 rendered, marmoset toolbag rendered, octane rendered, trending in ArtStation, Art Style by Alexey borkovskiy and Popularity_Choi and Gabriel Soares and Ui Joo Moon and Maxim Dorokhov and 龟龟li"
29,1833,1816,1068883571,"Patrick Star in Mona Lisa style, in Louvre, 8K"
30,69,68,2532215535,"background art of spaciously scattered flower petals flowing and floating through the blowing wind from left to right on a simple sunset background, large individual rose petals, angular background elements, polygonal fragments, anime, artgerm, manga, trending on artstation, art nouveau, mature color scheme "
31,619,615,1939009007,"Luke Skywalker teaches Leia the force at Jedi Temple scene from the last jedi, 2022, film by Stanley Kubrick, serene, iconic scene, stunning cinematography, hyper detailed, sharp, anamorphic lenses, kodak color film"
32,420,417,4029249339,the stable diffusion model hand drawn
33,404,401,2449820377,"An aesthetically pleasing, dynamic, energetic, lively, well-designed digital art of a whale, ripples, waves, sea foam, light and shadow, ocean caustics, aizome patterns, shin-hanga by Claude Monet, traditional Japanese colors, superior quality, masterpiece, excellent use of negative space."
34,53,52,2062726911,"3 panel scene, anime cat sleeps inside a japan train - dramatic cozy arts by wlop and okuda genso. wide angle lens. featured on pixiv, anime aesthetic. pixiv, warm aesthetic, rays of light, volumetric light, artstation, vanitas, official art, gothic, noise film photo. octane render, redshift render, ue 4 "
35,318,316,3008090283,"Rose Leslie as Eowyn, Lord of the Rings, film still, high detail"
36,718,711,3714556762,"Steamcity, steampunk, beautiful, city, concept art, drawing, fantasy, 4K, UHD, High quality, Trending on Artstation HQ"
37,788,781,1730248256,"brownstone residential landscape lined up in a straight line like the background of pixar animation, a two - lane road, flowers in a flower bed, a big tree by the side of the road, and a warm and comfortable atmosphere, perspective view, 4 k imax, lit from below, plant forest in glass tubes, underlight, moody iconic scene, a window frame into space 3 d animation background"
38,1969,1951,1351958523,"detailed image of a creepy family in the deep space by richard corben, rich deep colors. masterpiece. intricate artwork, very coherent symmetrical artwork, cinematic, hyper realism, high detail, octane render, unreal engine, 8 k, vibrant colors, smooth gradients, high contrast, depth of field. by katsuhiro otomo, full body character drawing, inspired by evangeleon, clean ink detailed line drawing, intricate detail, extremely detailed. "
39,1549,1537,1621297939,stealth military headgear helmet mercenary combat armor special tactical elite future nano final render trending on artstation digital painting highly detailed concept art final 4 k 8 k hd shading sharp intricate 
40,838,830,3874466648,"analog bokeh portrait in new york, 1 9 6 0 s, photographed on expired film, medium format detailed photograph "
41,1591,1577,1231622048,"time time time time time moving to the future future future future future glorifying glorifying glorifying glorifying the past past past past past, portals, maximalist dreamy abstract retropunk futurepunk clockpunk "
42,1162,1153,4031524407,"portrait isometric drawing, dwayne johnson as ballerina, intricate, epic lighting, cinematic composition, hyper realistic, 8k resolution, unreal engine 5, by Artgerm, tooth wu, dan mumford, beeple, wlop, rossdraws, James Jean, Andrei Riabovitchev, Marc Simonetti, yoshitaka Amano, Artstation"
43,1624,1609,3938630655,"an oil painting of a yellow alpine, zoomed out A110"
44,1293,1283,1880957740,"uhd photorealistic tornado made of cash in washington d. c., 8 k, cinematic lighting, in the style of amano and karol bak with vivid colors and crisp details "
45,1776,1759,857558553,night shift 
46,1288,1278,1620572292,"a perfect mix between beautiful and terrifying by herbert james draper, ernst haeckel "
47,1121,1112,4063417443,"stunning editorial fashion photography of george washington, creative studio photography by patrick demarchelier, "
48,194,193,1868947742,gods conclusion 
49,981,972,1031486670,"“Mylene Farmer in Blizzard style, artstation, deviantart”"
50,1484,1472,2248507674,"a handsome guy is standing tall, in a beautiful shirt, with the beach, sea, sun, rays in the background? super detail, one character"
51,1369,1358,2418063082,"futuristic cyberpunk android panda, duo tone, reflective skin, 8k octane very detailed render, stunning realistic render inspired by Ian Spriggs, studio render quality, dim lighting, hyper detailed, hyper realistic, trending on Artstation"
52,567,563,1071910278,"a professional photography of a blue ice cube floating through hot volcanic eruption, 8 k, high - resolution "
53,1519,1507,1213470315,"random actress in gears of war destiny 2 overwatch witcher 3 god of war tomb raider cyberpunk 2 0 7 7 doom, highly detailed, extremely high quality, hd, 4 k, professional photographer, 4 0 mp, lifelike, top - rated, award winning, realistic, detailed lighting, detailed shadows, sharp, edited, corrected, trending "
54,1662,1645,3586798897,"photo of SCP-173, by the SCP Foundation"
55,688,681,3060397345,"baroque neoclassicist closeup renaissance portrait of beautiful moon goddess with stars in her hair, reflective detailed textures, glittering silver ornaments, dark fantasy science fiction painting by diego rivera and jean delville and ruan jia and nicholas roerich and annie swynnerton and sam spratt, dramatic lighting, soft muted blue green color palette, artstation, octane render, unreal engine "
56,1917,1899,553084343,creatures infusion artificialintelligence images underwater astrophotography screenshotsaturday luscious contemporaryart kaur fractal submerged [... ] natgeo fractal apocalyptic illustration groundwater venetian 
57,1624,1609,2864282879,"photorealistic art of Jenny McCarthy, dynamic lighting, space atmosphere, hyperrealism, stunning visuals"
58,636,632,1032322560,"painted portrait of elle fanning, side profile, half face cyborg, standing in the dark forest, upper body, intricate elegant extremely detailed digital painting trending artstation concept art sharp focus illustration art by gustave courbet greg rutkowski craig mullins "
59,263,262,344247874,"looking out over a landscape, under a cloudy sky with god rays, in clear view, a massive ancient fractal temple megastructure architecture, in the hanging gardens of a radiant forest jungle, overgrown garden, scanned earth terrain fractal bridges, highly detailed erosion algorithm landscape, unique rock formations off the coast of australia, meeting the calm sea, by albert bierdstat, manelbulb 3 d, high resolution, 8 k, photorealism, god rays in volumes of fog, looking up perspective, unreal engine, octane render, "
60,1401,1390,1544870699,"dslr food photograph of a plate of sushi, 8 5 mm f 1 6 "
61,1992,1974,2294369740,"a detailed full body portrait gargoyle guardian in stone, relief statue, with shield, symmetry, symmetrical, by greg rutkowski and justin gerard, digital art, monstrous, art nouveau, baroque style, realistic painting, very detailed, fantasy, dnd, character design, trending on artstation "
62,1749,1732,952977862,"a lot of big high tech optical instruments fixed on a large table, extremely detailed, laser focused beams, hazy atmosphere, few colors, scientific laboratory experiments, photoreal, new equipment, analog nikon photo, dust particles in the air, blurred background "
63,1905,1887,2470619362," eerie, the rake running towards camera, very detailed, fantasy, dramatic, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by Gustave Dore, octane render"
64,1461,1449,2644998810,"portrait of gandalf wearing sunglasses, beautiful portrait, studio lighting, 4 k, masterpiece oil painting "
65,1484,1472,773465002,"an epic fantasy comic book style full body portrait painting of saudi woman , elegant, character design by Mark Ryden and Pixar and Hayao Miyazaki, unreal 5, DAZ, hyperrealistic, octane render, cosplay, RPG portrait, dynamic lighting, intricate detail, summer vibrancy, cinematic"
66,36,35,960340964,artistic knee height render of blueberry bushes in a forest. Digital art. 4K. Unreal engine. Trending on artstation. Highly detailed.
67,1323,1313,2244774399,"UHD photorealistic Elon Musk playing poker with Satoshi Nakamoto, Klaus Schwab, and Bill Gates, trending on Artstation, hyperrealistic, correct details, symmetrical faces, accurate faces,"
68,285,284,2074391388,"axonometric view of a female droid time machine floating in a blue volumetric void of latent space, mechanical fantasy, intricate, elegant, highly detailed, digital painting, concept art, smooth, sharp focus, divine realm of gods, realistic cinematic style, filmed in 7 0 mm, lighting, octane render, concept art, artist leonardo davinci, unreal engine 8 k "
69,1083,1074,3017746846,zod from superman 2 inspecting the nasa robot curiosity on planet mars 
70,150,149,2838161874,a screenshot from cement mixing simulator 2 0 0 3 
71,1071,1062,4275297535,The poster for the movie BACK TO THE FUTURE recreated with stopmotion clay animation style
