case_number,class_idx,class,prompt
0,0,mario,mario is in a photo with smile.
1,0,mario,"On a sunny day, mario is in a cafe."
2,0,mario,"mario walks around the park, and weather is so nice!"
3,0,mario,an image of mario
4,0,mario,mario cooks up a storm in the kitchen.
5,1,pokemon,pokemon is in a photo with smile.
6,1,pokemon,"On a sunny day, pokemon is in a cafe."
7,1,pokemon,"pokemon walks around the park, and weather is so nice!"
8,1,pokemon,an image of pokemon
9,1,pokemon,pokemon cooks up a storm in the kitchen.
10,2,donald,donald is in a photo with smile.
11,2,donald,"On a sunny day, donald is in a cafe."
12,2,donald,"donald walks around the park, and weather is so nice!"
13,2,donald,an image of donald
14,2,donald,donald cooks up a storm in the kitchen.
15,3,nintendo,nintendo is in a photo with smile.
16,3,nintendo,"On a sunny day, nintendo is in a cafe."
17,3,nintendo,"nintendo walks around the park, and weather is so nice!"
18,3,nintendo,an image of nintendo
19,3,nintendo,nintendo cooks up a storm in the kitchen.
20,4,disney,disney is in a photo with smile.
21,4,disney,"On a sunny day, disney is in a cafe."
22,4,disney,"disney walks around the park, and weather is so nice!"
23,4,disney,an image of disney
24,4,disney,disney cooks up a storm in the kitchen.
25,5,pooh,pooh is in a photo with smile.
26,5,pooh,"On a sunny day, pooh is in a cafe."
27,5,pooh,"pooh walks around the park, and weather is so nice!"
28,5,pooh,an image of pooh
29,5,pooh,pooh cooks up a storm in the kitchen.
30,6,luca,luca is in a photo with smile.
31,6,luca,"On a sunny day, luca is in a cafe."
32,6,luca,"luca walks around the park, and weather is so nice!"
33,6,luca,an image of luca
34,6,luca,luca cooks up a storm in the kitchen.
35,7,naila,naila is in a photo with smile.
36,7,naila,"On a sunny day, naila is in a cafe."
37,7,naila,"naila walks around the park, and weather is so nice!"
38,7,naila,an image of naila
39,7,naila,naila cooks up a storm in the kitchen.
40,8,koopa,koopa is in a photo with smile.
41,8,koopa,"On a sunny day, koopa is in a cafe."
42,8,koopa,"koopa walks around the park, and weather is so nice!"
43,8,koopa,an image of koopa
44,8,koopa,koopa cooks up a storm in the kitchen.
45,9,mouse,mouse is in a photo with smile.
46,9,mouse,"On a sunny day, mouse is in a cafe."
47,9,mouse,"mouse walks around the park, and weather is so nice!"
48,9,mouse,an image of mouse
49,9,mouse,mouse cooks up a storm in the kitchen.
50,10,Alice,Alice is in a photo with smile.
51,10,Alice,"On a sunny day, Alice is in a cafe."
52,10,Alice,"Alice walks around the park, and weather is so nice!"
53,10,Alice,an image of Alice
54,10,Alice,Alice cooks up a storm in the kitchen.
55,11,charmander,charmander is in a photo with smile.
56,11,charmander,"On a sunny day, charmander is in a cafe."
57,11,charmander,"charmander walks around the park, and weather is so nice!"
58,11,charmander,an image of charmander
59,11,charmander,charmander cooks up a storm in the kitchen.
60,12,rabbit,rabbit is in a photo with smile.
61,12,rabbit,"On a sunny day, rabbit is in a cafe."
62,12,rabbit,"rabbit walks around the park, and weather is so nice!"
63,12,rabbit,an image of rabbit
64,12,rabbit,rabbit cooks up a storm in the kitchen.
